iter	Passed	Remaining
416	2953	7670
417	2960	7663
418	2968	7658
419	2974	7649
420	2981	7642
421	2989	7636
422	2996	7630
423	3004	7624
424	3011	7617
425	3020	7616
426	3027	7608
427	3052	7645
428	3065	7652
429	3076	7655
430	3084	7651
431	3092	7646
432	3100	7640
433	3109	7637
434	3117	7632
435	3126	7628
436	3133	7622
437	3141	7616
438	3148	7608
439	3157	7605
440	3164	7598
441	3173	7597
442	3181	7590
443	3190	7588
444	3198	7583
445	3207	7579
446	3215	7574
447	3224	7571
448	3232	7566
449	3239	7558
450	3245	7549
451	3253	7542
452	3259	7533
453	3267	7527
454	3275	7521
455	3281	7513
456	3288	7505
457	3295	7497
458	3301	7488
459	3308	7480
460	3315	7472
461	3322	7465
462	3328	7455
463	3335	7446
464	3341	7437
465	3348	7429
466	3354	7420
467	3360	7411
468	3367	7403
469	3374	7396
470	3381	7387
471	3388	7379
472	3395	7371
473	3401	7362
474	3407	7353
475	3414	7345
476	3421	7337
477	3428	7330
478	3434	7321
479	3440	7311
480	3447	7303
481	3454	7295
482	3460	7286
483	3466	7277
484	3473	7269
485	3480	7261
486	3487	7253
487	3493	7245
488	3500	7237
489	3506	7228
490	3513	7220
491	3520	7212
492	3527	7205
493	3533	7196
494	3540	7187
495	3546	7178
496	3553	7171
497	3559	7162
498	3566	7153
499	3573	7146
500	3579	7137
501	3586	7129
502	3593	7122
503	3600	7114
504	3606	7105
505	3613	7097
506	3620	7090
507	3627	7083
508	3633	7074
509	3639	7065
510	3645	7056
511	3652	7048
512	3659	7040
513	3665	7031
514	3672	7024
515	3679	7017
516	3685	7008
517	3692	7000
518	3700	6993
519	3706	6984
520	3713	6977
521	3720	6970
522	3727	6962
523	3733	6954
524	3740	6946
525	3746	6937
526	3753	6929
527	3759	6921
528	3766	6913
529	3773	6906
530	3780	6898
531	3786	6890
532	3794	6883
533	3801	6876
534	3807	6867
535	3814	6859
536	3820	6851
537	3827	6843
538	3833	6835
539	3840	6826
540	3846	6817
541	3852	6809
542	3859	6801
543	3865	6792
544	3872	6785
545	3879	6778
546	3885	6769
547	3892	6761
548	3898	6753
549	3905	6745
550	3911	6737
551	3919	6730
552	3926	6723
553	3934	6718
554	3940	6710
555	3947	6701
556	3954	6694
557	3960	6686
558	3967	6678
559	3974	6671
560	3982	6665
561	3988	6656
562	3995	6649
563	4002	6642
564	4008	6634
565	4015	6626
566	4022	6618
567	4029	6611
568	4035	6603
569	4042	6595
570	4048	6586
571	4055	6579
572	4061	6570
573	4068	6562
574	4074	6555
575	4081	6547
576	4088	6539
577	4095	6533
578	4102	6525
579	4108	6517
580	4115	6510
581	4122	6502
582	4129	6495
583	4136	6487
584	4142	6479
585	4149	6471
586	4155	6463
587	4161	6455
588	4168	6446
589	4175	6439
590	4181	6431
591	4188	6423
592	4195	6416
593	4202	6409
594	4208	6401
595	4215	6393
596	4222	6386
597	4228	6378
598	4235	6371
599	4242	6363
600	4248	6354
601	4255	6347
602	4261	6338
603	4267	6330
604	4274	6323
605	4281	6315
606	4288	6308
607	4294	6299
608	4301	6292
609	4308	6285
610	4314	6277
611	4321	6270
612	4328	6263
613	4335	6256
614	4342	6249
615	4349	6241
616	4356	6234
617	4362	6226
618	4369	6219
619	4376	6211
620	4383	6204
621	4390	6196
622	4397	6189
623	4404	6183
624	4411	6175
625	4418	6168
626	4425	6161
627	4432	6154
628	4439	6148
629	4446	6139
630	4453	6132
631	4460	6125
632	4466	6117
633	4473	6110
634	4480	6102
635	4487	6096
636	4493	6088
637	4501	6082
638	4509	6075
639	4516	6068
640	4524	6063
641	4532	6057
642	4539	6050
643	4545	6042
644	4552	6034
645	4559	6027
646	4566	6020
647	4572	6012
648	4580	6005
649	4587	5998
650	4593	5991
651	4601	5984
652	4607	5976
653	4613	5968
654	4621	5962
655	4629	5956
656	4636	5949
657	4642	5940
658	4648	5932
659	4655	5925
660	4662	5918
661	4669	5910
662	4675	5902
663	4683	5896
664	4690	5889
665	4697	5882
666	4704	5875
667	4711	5868
668	4718	5860
669	4724	5853
670	4732	5847
671	4740	5840
672	4747	5833
673	4753	5825
674	4760	5818
675	4767	5810
676	4773	5802
677	4780	5795
678	4787	5788
679	4794	5781
680	4801	5774
681	4808	5767
682	4816	5761
683	4824	5755
684	4831	5748
685	4838	5740
686	4844	5733
687	4851	5725
688	4857	5717
689	4864	5710
690	4870	5702
691	4877	5694
692	4884	5687
693	4891	5680
694	4897	5672
695	4904	5665
696	4911	5658
697	4917	5650
698	4924	5643
699	4931	5636
700	4938	5629
701	4944	5621
702	4951	5613
703	4957	5605
704	4964	5597
705	4970	5590
706	4978	5583
707	4987	5578
708	4994	5572
709	5002	5565
710	5009	5559
711	5017	5552
712	5025	5546
713	5033	5540
714	5041	5535
715	5048	5528
716	5055	5521
717	5063	5515
718	5071	5508
719	5078	5501
720	5086	5495
721	5094	5490
722	5102	5483
723	5110	5477
724	5117	5470
725	5124	5463
726	5132	5457
727	5140	5451
728	5148	5444
729	5155	5437
730	5162	5431
731	5170	5424
732	5176	5417
733	5184	5410
734	5192	5404
735	5199	5396
736	5206	5390
737	5214	5384
738	5222	5377
739	5229	5371
740	5238	5365
741	5246	5359
742	5253	5352
743	5260	5345
744	5268	5339
745	5275	5332
746	5283	5325
747	5291	5319
748	5298	5312
749	5306	5306
750	5315	5301
751	5323	5295
752	5330	5287
753	5337	5281
